"data_as_of","start_date","end_date","sex","age_years","total_deaths","covid19_deaths"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","39 Years","14165","1250"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","40 Years","14522","1290"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","41 Years","14740","1506"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","42 Years","14713","1643"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","43 Years","15285","1745"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","44 Years","15503","1988"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","45 Years","16170","2166"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","46 Years","17303","2351"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","47 Years","18357","2580"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","48 Years","20669","2927"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","49 Years","23124","3258"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","50 Years","25651","3713"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","51 Years","26451","3845"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","52 Years","28177","4118"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","53 Years","29817","4192"
